nombre_feature,familia_features,definicion,duplicados,qty_duplicados,categoria_features
mk_device_address_approved_qty_12h,Características del Dispositivo,Cantidad de veces que una dirección de dispositivo ha sido aprobada en las últimas 12 horas.,"mk_device_address_approved_qty_24h, mk_device_address_approved_qty_1h",2,Features de Importancia Moderada
mk_device_address_cancel_amount_1h,Características de la Transacción,Este feature representa la cantidad de cancelaciones de pedidos realizadas desde un dispositivo específico en la última hora.,"mk_device_address_cancel_amount_24h, mk_device_address_cancel_amount_7d",2,Features de Importancia Moderada
mk_device_address_cancel_amount_6h,Características Históricas de Fraude,Este feature representa la cantidad de cancelaciones de pedidos asociadas a una dirección de dispositivo en un periodo de 6 horas.,,0,Features de Importancia Moderada
mk_device_address_cancel_amount_12h,Características Históricas de Fraude,Este feature representa la cantidad de cancelaciones de pedidos realizadas desde un dispositivo específico en las últimas 12 horas.,mk_device_address_cancel_count_12h,1,Features de Importancia Moderada
mk_device_address_cancel_qty_1h,Características del Dispositivo,Cantidad de cancelaciones realizadas desde una misma dirección de dispositivo en la última hora.,"mk_device_address_cancel_qty_24h, mk_device_address_cancel_qty_7d",2,Features de Importancia Moderada
mk_device_address_cancel_qty_6h,Características del Dispositivo,Cantidad de cancelaciones de pedidos realizadas desde un dispositivo específico en las últimas 6 horas.,"mk_device_address_cancel_qty_24h, mk_device_address_cancel_qty_1h",2,Features de Importancia Moderada
mk_device_address_cancel_qty_12h,Características del Dispositivo,Cantidad de cancelaciones realizadas desde un dispositivo específico en las últimas 12 horas.,"device_cancel_qty_12h, address_cancel_qty_12h",2,Features de Importancia Moderada
mk_device_address_amount_1d,Características del Dispositivo,Este feature representa la cantidad de direcciones de dispositivo únicas asociadas a transacciones realizadas en un solo día.,"device_address_count_24h, device_address_unique_count_1d",2,Features de Importancia Moderada
mk_device_address_amount_7d,Características de Ubicación o Geolocalización,Este feature representa la cantidad de veces que una dirección de dispositivo ha sido utilizada en transacciones en los últimos 7 días.,"mk_device_address_amount_30d, mk_device_address_amount_1d",2,Features de Importancia Moderada
mk_device_address_amount_15d,Características de Dispositivo,Este feature representa la cantidad de direcciones de envío diferentes asociadas a un mismo dispositivo en un periodo de 15 días.,"mk_device_address_amount_30d, mk_device_address_amount_7d",2,Features de Importancia Moderada
mk_device_address_amount_30d,Características de Ubicación o Geolocalización,Este feature representa la cantidad de veces que una dirección de dispositivo ha sido utilizada en transacciones en los últimos 30 días.,"device_address_usage_30d, device_address_transaction_count_30d",2,Features Altamente Relevantes (Buenos)
mk_device_address_amount_90d,Características Históricas de Fraude,Este feature representa la cantidad de veces que un dispositivo ha sido utilizado para realizar transacciones desde una misma dirección en los últimos 90 días.,"device_address_count_90d, device_address_usage_90d",2,Features Altamente Relevantes (Buenos)
mk_device_address_qty_1d,Características del Dispositivo,Cantidad de direcciones diferentes asociadas a un dispositivo en un periodo de 1 día.,"mk_device_address_qty_7d, mk_device_address_qty_30d",2,Features Altamente Relevantes (Buenos)
mk_device_address_qty_7d,Características del Dispositivo,Cantidad de direcciones asociadas a un dispositivo en los últimos 7 días.,"device_address_count_last_week, device_address_7d",2,Features Altamente Relevantes (Buenos)
mk_device_address_qty_15d,Características del Dispositivo,Cantidad de direcciones diferentes asociadas a un dispositivo en los últimos 15 días.,"device_address_count_15d, device_address_variety_15d",2,Features Altamente Relevantes (Buenos)
mk_device_address_qty_30d,Características del Dispositivo,Número de direcciones diferentes asociadas a un dispositivo en los últimos 30 días.,"device_address_count_30d, device_address_variety_30d",2,Features de Importancia Moderada
mk_device_address_qty_90d,Características del Dispositivo,Número de direcciones diferentes asociadas a un dispositivo en los últimos 90 días.,"device_address_count_90d, device_address_variety_90d",2,Features Altamente Relevantes (Buenos)
mk_device_address_approved_amount_1d,Características de Dispositivo,Monto total aprobado de transacciones realizadas desde una dirección de dispositivo específica en el último día.,"mk_device_address_approved_amount_7d, mk_device_address_approved_amount_30d",2,Features de Importancia Moderada
mk_device_address_approved_amount_7d,Características Históricas de Fraude,Monto total aprobado en los últimos 7 días desde la misma dirección de dispositivo.,mk_device_address_approved_amount_30d,1,Features de Importancia Moderada
mk_device_address_approved_amount_15d,Características de la Transacción,Monto total aprobado de transacciones realizadas desde una dirección de dispositivo en los últimos 15 días.,"mk_device_address_approved_amount_30d, mk_device_address_approved_amount_7d",2,Features de Importancia Moderada
mk_device_address_approved_amount_30d,Características Históricas de Fraude,Monto total aprobado en los últimos 30 días desde la misma dirección de dispositivo.,"mk_device_address_approved_count_30d, mk_device_address_declined_amount_30d",2,Features de Importancia Moderada
mk_device_address_approved_amount_90d,Características Históricas de Fraude,Monto total aprobado de transacciones realizadas desde una dirección de dispositivo en los últimos 90 días.,"mk_device_address_approved_amount_30d, mk_device_address_approved_amount_180d",2,Features de Importancia Moderada
mk_device_address_approved_qty_1d,Características del Dispositivo,Cantidad de veces que una dirección de dispositivo ha sido aprobada en un día.,"mk_device_address_approved_qty_7d, mk_device_address_approved_qty_30d",2,Features de Importancia Moderada
mk_device_address_approved_qty_7d,Características del Dispositivo,Cantidad de veces que una dirección de dispositivo ha sido aprobada en los últimos 7 días.,"mk_device_address_approved_qty_30d, mk_device_address_approved_qty_1d",2,Features de Importancia Moderada
mk_device_address_approved_qty_15d,Características del Dispositivo,Cantidad de veces que una dirección de dispositivo ha sido aprobada en los últimos 15 días.,"mk_device_address_approved_qty_30d, mk_device_address_approved_qty_7d",2,Features de Importancia Moderada
mk_device_address_approved_qty_30d,Características del Dispositivo,Cantidad de veces que una dirección de dispositivo ha sido aprobada en los últimos 30 días.,"mk_device_address_approved_qty_7d, mk_device_address_approved_qty_60d",2,Features de Importancia Moderada
mk_device_address_approved_qty_90d,Características del Dispositivo,Cantidad de veces que una dirección de dispositivo ha sido aprobada en los últimos 90 días.,"mk_device_address_approved_qty_30d, mk_device_address_approved_qty_180d",2,Features de Importancia Moderada
mk_device_address_cancel_amount_1d,Características Históricas de Fraude,Este feature representa la cantidad de cancelaciones de pedidos realizadas desde un dispositivo específico en un período de 1 día.,"mk_device_address_cancel_amount_7d, mk_device_address_cancel_amount_30d",2,Features de Importancia Moderada
mk_device_address_cancel_amount_7d,Características Históricas de Fraude,Este feature representa la cantidad de cancelaciones asociadas a una dirección de dispositivo en los últimos 7 días.,"device_address_cancel_count_7d, device_address_cancel_rate_7d",2,Features de Importancia Moderada
mk_device_address_cancel_amount_15d,Características Históricas de Fraude,Este feature representa la cantidad de cancelaciones de pedidos asociadas a una dirección de dispositivo en los últimos 15 días.,"device_address_cancel_count_15d, device_address_cancel_rate_15d",2,Features de Importancia Moderada
mk_device_address_cancel_amount_30d,Características Históricas de Fraude,Este feature representa la cantidad de cancelaciones asociadas a una dirección de dispositivo en los últimos 30 días.,"device_address_cancel_count_30d, device_address_cancel_rate_30d",2,Features de Importancia Moderada
mk_device_address_cancel_amount_90d,Características Históricas de Fraude,Monto total de transacciones canceladas asociadas a un dispositivo en los últimos 90 días.,mk_device_address_cancel_count_90d,1,Features de Importancia Moderada
mk_device_address_cancel_qty_1d,Características del Dispositivo,Cantidad de cancelaciones realizadas desde una misma dirección de dispositivo en un día.,device_address_cancel_count_24h,1,Features de Importancia Moderada
mk_device_address_cancel_qty_7d,Características del Dispositivo,Este feature representa la cantidad de veces que un dispositivo ha cancelado pedidos en los últimos 7 días.,"device_cancel_count_7d, device_order_cancellation_7d",2,Features de Importancia Moderada
mk_device_address_cancel_qty_15d,Características del Dispositivo,Cantidad de cancelaciones realizadas desde un dispositivo específico en los últimos 15 días.,"device_cancel_count_15d, device_address_cancel_count_15d",2,Features de Importancia Moderada
mk_device_address_cancel_qty_30d,Características del Dispositivo,Este feature representa la cantidad de veces que un dispositivo ha cancelado pedidos en los últimos 30 días.,,0,Features de Importancia Moderada
mk_device_address_cancel_qty_90d,Características Históricas de Fraude,Cantidad de cancelaciones de pedidos realizadas desde un dispositivo específico en los últimos 90 días.,"device_cancel_qty_90d, address_cancel_qty_90d",2,Features de Importancia Moderada
mk_device_address_mins_since_first_approved_order,Características del Dispositivo,Este feature representa el tiempo en minutos desde que se realizó el primer pedido aprobado desde un dispositivo específico hasta el momento actual.,,0,Features de Importancia Moderada
mk_device_address_mins_since_last_approved_transaction,Características de la Transacción,Este feature representa el tiempo en minutos transcurrido desde la última transacción aprobada realizada desde la misma dirección de dispositivo.,"device_address_time_since_last_transaction, device_address_time_gap",2,Features de Importancia Moderada
mk_device_address_mins_since_last_transaction,Características del Dispositivo,Este feature representa el tiempo en minutos transcurrido desde la última transacción realizada desde la misma dirección de dispositivo.,"device_address_time_since_last_transaction, device_address_minutes_since_last_purchase",2,Features de Importancia Moderada
mk_device_address_mins_since_last_cancel_transaction,Características de la Transacción,Este feature representa el tiempo en minutos transcurrido desde la última transacción cancelada realizada desde el mismo dispositivo y dirección.,,0,Features de Importancia Moderada
user_account_challenge_event_declined_3ds_enroll_rc_100_qty_1h,Características de la Cuenta del Usuario,"Este feature indica la cantidad de eventos de desafío de cuenta de usuario que fueron rechazados debido a un fallo en la inscripción 3DS (3D Secure) con un código de respuesta 100, en la última hora.",,0,Features de Importancia Moderada
user_account_challenge_event_declined_3ds_enroll_rc_100_qty_6h,Características de la Cuenta del Usuario,"Este feature representa la cantidad de eventos de desafío de cuenta de usuario que fueron declinados debido a un fallo en la inscripción 3DS (3D Secure) con un código de respuesta 100, en un periodo de 6 horas.",,0,Features Altamente Relevantes (Buenos)
user_account_challenge_event_declined_3ds_enroll_rc_100_qty_12h,Características de la Cuenta del Usuario,"Este feature representa la cantidad de eventos de desafío de cuenta de usuario que fueron rechazados debido a un fallo en la inscripción 3DS (3D Secure) con un código de respuesta 100, en un periodo de 12 horas.",,0,Features de Importancia Moderada
user_account_challenge_event_declined_3ds_enroll_rc_100_qty_1d,Características de la Cuenta del Usuario,Este feature indica la cantidad de eventos en los que un desafío de cuenta de usuario fue rechazado durante el proceso de inscripción 3DS (3D Secure) con un código de respuesta 100 en un periodo de 1 día.,,0,Features de Importancia Moderada
user_account_challenge_event_declined_3ds_enroll_rc_476_qty_1h,Características de la Cuenta del Usuario,"Este feature representa la cantidad de eventos de desafío de cuenta de usuario que fueron rechazados debido a un código de respuesta específico (476) relacionado con el enrolamiento en 3D Secure, en la última hora.",,0,Features de Importancia Moderada
user_account_challenge_event_declined_3ds_enroll_rc_476_qty_6h,Características de la Cuenta del Usuario,"Este feature indica la cantidad de eventos de desafío de cuenta de usuario que fueron rechazados debido a un código de respuesta específico (476) relacionado con el enrolamiento en 3D Secure, en un periodo de 6 horas.",,0,Features de Importancia Moderada
user_account_challenge_event_declined_3ds_enroll_rc_476_qty_12h,Características de la Cuenta del Usuario,"Este feature representa la cantidad de eventos de desafío de cuenta de usuario que fueron rechazados debido a un código de respuesta específico (476) relacionado con el enrolamiento en 3D Secure, en un periodo de 12 horas.","user_account_challenge_event_declined_3ds_enroll_rc_476_qty_24h, user_account_challenge_event_declined_3ds_enroll_rc_476_qty_6h",2,Features de Importancia Moderada
user_account_challenge_event_declined_3ds_enroll_rc_476_qty_1d,Características de la Cuenta del Usuario,"Este feature representa la cantidad de eventos de desafío de cuenta de usuario que fueron rechazados debido a un código de respuesta específico (476) relacionado con el enrolamiento en 3D Secure, en un periodo de 1 día.",,0,Features de Importancia Moderada
crosses_add_card_events_used_fingerprint_qty_fingerprints,Características de Métodos de Pago,"Este feature indica la cantidad de huellas digitales (fingerprints) diferentes que se han utilizado en eventos de adición de tarjeta, lo que puede ayudar a identificar comportamientos sospechosos o fraudulentos en el uso de métodos de pago.","add_card_events_fingerprint_count, unique_fingerprints_per_card_addition",2,Features de Importancia Moderada
crosses_add_card_events_used_fingerprint_qty_fingerprints_3d,Características de Métodos de Pago,Este feature indica la cantidad de huellas digitales (fingerprints) diferentes utilizadas en eventos de adición de tarjeta que cruzan con eventos de autenticación 3D Secure.,"add_card_events_fingerprint_count, fingerprint_3d_secure_usage",2,Features de Importancia Moderada
crosses_add_card_events_used_fingerprint_qty_fingerprints_30d,Características de Métodos de Pago,Este feature indica la cantidad de huellas digitales (fingerprints) diferentes que se han utilizado en eventos de adición de tarjeta en los últimos 30 días.,"add_card_events_fingerprint_count_30d, unique_fingerprints_used_30d",2,Features de Importancia Moderada
crosses_add_card_events_used_fingerprint_qty_fingerprints_failed,Características de Métodos de Pago,"Este feature indica la cantidad de veces que se ha intentado agregar una tarjeta de pago utilizando una huella digital específica, pero esos intentos han fallado. Esto puede ayudar a identificar patrones sospechosos de intentos fallidos de agregar métodos de pago.","add_card_attempts_failed, fingerprint_failures",2,Features de Importancia Moderada
crosses_add_card_events_used_fingerprint_qty_fingerprints_failed_3d,Características de Métodos de Pago,"Este feature probablemente mide la cantidad de eventos en los que se intentó agregar una tarjeta utilizando una huella digital específica, pero falló en la autenticación 3D Secure en un periodo de 3 días.",,0,Features de Importancia Moderada
crosses_add_card_events_used_fingerprint_qty_fingerprints_failed_30d,Características de Métodos de Pago,"Este feature indica la cantidad de intentos fallidos de agregar una tarjeta de crédito en los últimos 30 días, utilizando diferentes huellas digitales del dispositivo.","add_card_attempts_failed_30d, fingerprint_failures_30d",2,Features Altamente Relevantes (Buenos)
user_events_add_card_qty_1h,Características de Métodos de Pago,Cantidad de eventos en los que un usuario ha agregado una tarjeta de crédito o débito en la última hora.,"user_events_add_card_qty_24h, user_events_add_card_qty_7d",2,Features de Importancia Moderada
user_events_add_card_failed_qty_1h,Características de Métodos de Pago,Este feature representa la cantidad de intentos fallidos de agregar una tarjeta de pago por parte del usuario en la última hora.,"user_events_add_card_failed_qty_24h, user_events_add_card_failed_qty_7d",2,Features de Importancia Moderada
user_events_login_1h,Características de la Cuenta del Usuario,Número de eventos de inicio de sesión realizados por el usuario en la última hora.,"user_events_login_24h, user_events_login_7d",2,Features de Importancia Moderada
user_events_2fa_start_qty_10m,Características de la Cuenta del Usuario,Cantidad de eventos de inicio de autenticación de dos factores (2FA) realizados por el usuario en los últimos 10 minutos.,user_events_2fa_attempt_qty_10m,1,Features de Importancia Moderada
user_events_2fa_start_qty_1h,Características de la Cuenta del Usuario,Cantidad de eventos de inicio de autenticación de dos factores (2FA) realizados por el usuario en la última hora.,"user_events_2fa_start_qty_24h, user_events_2fa_start_qty_7d",2,Features de Importancia Moderada
user_events_2fa_confirmed_qty_10m,Características de la Cuenta del Usuario,Cantidad de eventos de confirmación de autenticación de dos factores (2FA) realizados por el usuario en los últimos 10 minutos.,,0,Features Altamente Relevantes (Buenos)
user_events_2fa_confirmed_qty_1h,Características de la Cuenta del Usuario,Cantidad de eventos de confirmación de autenticación de dos factores (2FA) realizados por el usuario en la última hora.,,0,Features Altamente Relevantes (Buenos)
user_events_add_card_qty_1d,Características de Métodos de Pago,Cantidad de veces que un usuario ha agregado una tarjeta de crédito o débito en la plataforma en el último día.,,0,Features de Importancia Moderada
user_events_add_card_qty_7d,Características de la Cuenta del Usuario,Este feature representa la cantidad de veces que un usuario ha agregado una tarjeta de crédito o débito a su cuenta en los últimos 7 días.,"user_events_add_card_qty_30d, user_events_add_card_qty_1d",2,Features de Importancia Moderada
user_events_add_card_qty_15d,Características de Métodos de Pago,Cantidad de eventos en los que un usuario ha agregado una tarjeta de crédito o débito en los últimos 15 días.,"user_events_add_card_qty_30d, user_events_add_card_qty_7d",2,Features de Importancia Moderada
user_events_add_card_qty_30d,Características de Métodos de Pago,Cantidad de veces que un usuario ha agregado una tarjeta de crédito o débito en los últimos 30 días.,"user_events_add_card_qty_7d, user_events_add_card_qty_60d",2,Features de Importancia Moderada
user_events_add_card_qty_90d,Características de la Cuenta del Usuario,Este feature representa la cantidad de veces que un usuario ha agregado una tarjeta de crédito o débito a su cuenta en los últimos 90 días.,"user_events_add_card_qty_30d, user_events_add_card_qty_60d",2,Features de Importancia Moderada
user_events_add_card_failed_qty_1d,Características de Métodos de Pago,Este feature representa la cantidad de intentos fallidos de un usuario para agregar una tarjeta de crédito o débito en la plataforma en un período de 1 día.,,0,Features de Importancia Moderada
user_events_add_card_failed_qty_7d,Características de Métodos de Pago,Este feature representa la cantidad de intentos fallidos de agregar una tarjeta de crédito o débito a la cuenta del usuario en los últimos 7 días.,,0,Features de Importancia Moderada
user_events_add_card_failed_qty_15d,Características de Métodos de Pago,Este feature representa la cantidad de intentos fallidos de agregar una tarjeta de crédito o débito a la cuenta del usuario en los últimos 15 días.,,0,Features Altamente Relevantes (Buenos)
user_events_add_card_failed_qty_30d,Características de Métodos de Pago,Este feature representa la cantidad de intentos fallidos de agregar una tarjeta de pago por parte del usuario en los últimos 30 días.,,0,Features de Importancia Moderada
user_events_add_card_failed_qty_90d,Características de Métodos de Pago,Cantidad de intentos fallidos de agregar una tarjeta de crédito o débito por parte del usuario en los últimos 90 días.,,0,Features Altamente Relevantes (Buenos)
user_events_login_1d,Características de la Cuenta del Usuario,Número de eventos de inicio de sesión realizados por el usuario en un día.,user_login_attempts_24h,1,Features de Importancia Moderada
user_events_2fa_start_qty_1d,Características de la Cuenta del Usuario,Cantidad de eventos de inicio de autenticación de dos factores (2FA) realizados por el usuario en el último día.,"user_events_2fa_start_qty_7d, user_events_2fa_start_qty_30d",2,Features de Importancia Moderada
user_events_2fa_start_qty_7d,Características de la Cuenta del Usuario,Cantidad de eventos en los que el usuario ha iniciado el proceso de autenticación de dos factores (2FA) en los últimos 7 días.,,0,Features de Importancia Moderada
user_events_2fa_start_qty_15d,Características de la Cuenta del Usuario,Cantidad de eventos de inicio de autenticación de dos factores (2FA) realizados por el usuario en los últimos 15 días.,"user_events_2fa_start_qty_30d, user_events_2fa_start_qty_7d",2,Features de Importancia Moderada
user_events_2fa_start_qty_30d,Características de la Cuenta del Usuario,Cantidad de veces que un usuario ha iniciado el proceso de autenticación de dos factores (2FA) en los últimos 30 días.,,0,Features de Importancia Moderada
user_events_2fa_start_qty_90d,Características de la Cuenta del Usuario,Cantidad de eventos en los que el usuario ha iniciado el proceso de autenticación de dos factores (2FA) en los últimos 90 días.,,0,Features de Importancia Moderada
user_events_2fa_confirmed_qty_1d,Características de la Cuenta del Usuario,Cantidad de eventos de confirmación de autenticación de dos factores (2FA) realizados por el usuario en el último día.,,0,Features de Importancia Moderada
user_events_2fa_confirmed_qty_7d,Características de la Cuenta del Usuario,Cantidad de eventos de confirmación de autenticación de dos factores (2FA) realizados por el usuario en los últimos 7 días.,,0,Features Altamente Relevantes (Buenos)
user_events_2fa_confirmed_qty_15d,Características de la Cuenta del Usuario,Cantidad de eventos en los que el usuario ha confirmado la autenticación de dos factores (2FA) en los últimos 15 días.,,0,Features Altamente Relevantes (Buenos)
user_events_2fa_confirmed_qty_30d,Características de la Cuenta del Usuario,Cantidad de eventos en los que el usuario ha confirmado la autenticación de dos factores (2FA) en los últimos 30 días.,,0,Features de Importancia Moderada
user_events_2fa_confirmed_qty_90d,Características de la Cuenta del Usuario,Cantidad de eventos en los que el usuario ha confirmado la autenticación de dos factores (2FA) en los últimos 90 días.,,0,Features Altamente Relevantes (Buenos)
user_events_register_qty_1h,Características de la Cuenta del Usuario,Cantidad de eventos de registro realizados por el usuario en la última hora.,"user_events_register_qty_24h, user_events_register_qty_7d",2,Features de Importancia Moderada
user_events_register_qty_1d,Características de la Cuenta del Usuario,Cantidad de eventos registrados por el usuario en un día.,"user_events_register_qty_7d, user_events_register_qty_30d",2,Features de Importancia Moderada
user_events_register_qty_7d,Características de la Cuenta del Usuario,Cantidad de eventos de registro realizados por el usuario en los últimos 7 días.,,0,Features de Importancia Moderada
user_events_register_qty_15d,Características de la Cuenta del Usuario,Cantidad de eventos de registro realizados por el usuario en los últimos 15 días.,"user_events_register_qty_30d, user_events_register_qty_7d",2,Features de Importancia Moderada
user_events_register_qty_30d,Características de la Cuenta del Usuario,Cantidad de eventos registrados por el usuario en los últimos 30 días.,"user_events_register_qty_7d, user_events_register_qty_60d",2,Features de Importancia Moderada
user_events_register_qty_90d,Características de la Cuenta del Usuario,Cantidad de eventos registrados por el usuario en los últimos 90 días.,"user_events_register_qty_30d, user_events_register_qty_60d",2,Features de Importancia Moderada
mk_geohash_7_gmv_amount_1d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de GMV (Gross Merchandise Value) en un área geográfica específica, definida por un geohash de precisión 7, acumulado en un periodo de 1 día.",,0,Features de Importancia Moderada
mk_geohash_7_gmv_amount_7d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de GMV (Gross Merchandise Value) en un área geográfica específica, codificada con un geohash de precisión 7, acumulado durante los últimos 7 días.",,0,Features de Importancia Moderada
mk_geohash_7_gmv_amount_15d,Características de Ubicación o Geolocalización,Este feature representa el monto total de GMV (Gross Merchandise Value) asociado a un geohash de precisión 7 en los últimos 15 días. Un geohash es una representación compacta de una ubicación geográfica.,,0,Features de Importancia Moderada
mk_geohash_7_gmv_amount_30d,Características de Ubicación o Geolocalización,Este feature representa el monto total de GMV (Gross Merchandise Value) asociado a un geohash de precisión 7 en los últimos 30 días. Un geohash es una representación compacta de una ubicación geográfica.,,0,Features de Importancia Moderada
mk_geohash_7_gmv_amount_90d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de GMV (Gross Merchandise Value) en un área geográfica específica, codificada con geohash de precisión 7, acumulado durante los últimos 90 días.","mk_geohash_7_gmv_amount_30d, mk_geohash_7_gmv_amount_180d",2,Features de Importancia Moderada
mk_geohash_7_gmv_usd_amount_1d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de ventas brutas en dólares estadounidenses (GMV) en un área geográfica específica, definida por un geohash de precisión 7, durante un período de 1 día.",,0,Features de Importancia Moderada
mk_geohash_7_gmv_usd_amount_7d,Características de Ubicación o Geolocalización,"Este feature representa el monto total en dólares estadounidenses (USD) de las transacciones realizadas en los últimos 7 días dentro de una región geográfica específica, identificada por un geohash de precisión 7.","mk_geohash_7_gmv_usd_amount_30d, mk_geohash_7_gmv_usd_amount_1d",2,Features de Importancia Moderada
mk_geohash_7_gmv_usd_amount_15d,Características de Ubicación o Geolocalización,"Este feature representa el monto total en dólares estadounidenses (USD) de las transacciones realizadas en los últimos 15 días dentro de una región geográfica específica, identificada por un geohash de precisión 7.",,0,Features de Importancia Moderada
mk_geohash_7_gmv_usd_amount_30d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de las transacciones en dólares estadounidenses (GMV) realizadas en los últimos 30 días dentro de una región geográfica específica, identificada por un geohash de precisión 7.",,0,Features de Importancia Moderada
mk_geohash_7_gmv_usd_amount_90d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de ventas brutas en dólares estadounidenses (GMV) en un área geográfica específica, definida por un geohash de precisión 7, durante los últimos 90 días.","mk_geohash_6_gmv_usd_amount_90d, mk_geohash_8_gmv_usd_amount_90d",2,Features de Importancia Moderada
mk_geohash_7_coupon_qty_1d,Características de Ubicación o Geolocalización,"Este feature representa la cantidad de cupones utilizados en un área geográfica específica, definida por un geohash de precisión 7, en un periodo de 1 día.",,0,Features de Importancia Moderada
mk_geohash_7_coupon_qty_7d,Características de Ubicación o Geolocalización,"Este feature representa la cantidad de cupones utilizados en los últimos 7 días en una ubicación específica, codificada mediante un geohash de precisión 7.",,0,Features de Importancia Moderada
mk_geohash_7_coupon_qty_15d,Características de Ubicación o Geolocalización,"Este feature representa la cantidad de cupones utilizados en un área geográfica específica, definida por un geohash de precisión 7, en los últimos 15 días.",,0,Features de Importancia Moderada
mk_geohash_7_coupon_qty_30d,Características de Ubicación o Geolocalización,"Este feature representa la cantidad de cupones utilizados en los últimos 30 días en una ubicación específica, codificada mediante un geohash de precisión 7.",,0,Features de Importancia Moderada
mk_geohash_7_coupon_qty_90d,Características de Ubicación o Geolocalización,"Este feature representa la cantidad de cupones utilizados en los últimos 90 días en una ubicación específica, codificada mediante un geohash de precisión 7.",,0,Features de Importancia Moderada
mk_geohash_7_discount_amount_1d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de descuentos aplicados a las transacciones en un área geográfica específica, definida por un geohash de precisión 7, en un periodo de 1 día.",,0,Features de Importancia Moderada
mk_geohash_7_discount_amount_7d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de descuentos aplicados a las transacciones en un área geográfica específica, codificada en geohash de 7 caracteres, durante los últimos 7 días.",,0,Features de Importancia Moderada
mk_geohash_7_discount_amount_30d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de descuentos aplicados a las transacciones en un área geográfica específica, codificada con geohash de precisión 7, durante los últimos 30 días.",,0,Features de Importancia Moderada
mk_geohash_7_discount_amount_90d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de descuentos aplicados a las transacciones en una ubicación específica, codificada en geohash de 7 caracteres, durante los últimos 90 días.",,0,Features de Importancia Moderada
mk_geohash_7_discount_usd_amount_1d,Características de Ubicación o Geolocalización,"Este feature representa el monto total de descuentos en dólares estadounidenses aplicados a las transacciones en un área geográfica específica, codificada con geohash de precisión 7, durante un período de 1 día.",,0,Features de Importancia Moderada
